Epoch  3600, Loss:   0.01539, ode_loss: 0.0000521, ic_loss: 0.0102850, data_loss: 0.0049076, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  3700, Loss:   0.01183, ode_loss: 0.0000518, ic_loss: 0.0077561, data_loss: 0.0039125, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  3800, Loss:   0.00897, ode_loss: 0.0000511, ic_loss: 0.0057359, data_loss: 0.0031027, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  3900, Loss:   0.00672, ode_loss: 0.0000504, ic_loss: 0.0041550, data_loss: 0.0024544, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  4000, Loss:   0.00498, ode_loss: 0.0000506, ic_loss: 0.0029460, data_loss: 0.0019439, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  4100, Loss:   0.00367, ode_loss: 0.0000506, ic_loss: 0.0020412, data_loss: 0.0015478, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  4200, Loss:   0.00269, ode_loss: 0.0000498, ic_loss: 0.0013795, data_loss: 0.0012417, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  4300, Loss:   0.00198, ode_loss: 0.0000484, ic_loss: 0.0009073, data_loss: 0.0010051, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  4400, Loss:   0.00146, ode_loss: 0.0000477, ic_loss: 0.0005791, data_loss: 0.0008265, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  4500, Loss:   0.00111, ode_loss: 0.0000471, ic_loss: 0.0003591, data_loss: 0.0006936, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  4600, Loss:   0.00086, ode_loss: 0.0000461, ic_loss: 0.0002161, data_loss: 0.0005938, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  4700, Loss:   0.00069, ode_loss: 0.0000448, ic_loss: 0.0001255, data_loss: 0.0005173, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  4800, Loss:   0.00057, ode_loss: 0.0000428, ic_loss: 0.0000701, data_loss: 0.0004582, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  4900, Loss:   0.00049, ode_loss: 0.0000410, ic_loss: 0.0000376, data_loss: 0.0004125, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  5000, Loss:   0.00044, ode_loss: 0.0000392, ic_loss: 0.0000197, data_loss: 0.0003764, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
