Epoch     1, Loss:   2.22490, ode_loss: 0.0000590, ic_loss: 1.3647860, data_loss: 0.8600543, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch  3600, Loss:   0.01188, ode_loss: 0.0000797, ic_loss: 0.0000871, data_loss: 0.0116473, aw_ode: 1.03, aw_ic: 1.01, aw_data: 1.01
Epoch  3700, Loss:   0.01159, ode_loss: 0.0000790, ic_loss: 0.0000921, data_loss: 0.0113595, aw_ode: 1.03, aw_ic: 1.01, aw_data: 1.01
Epoch  3800, Loss:   0.01130, ode_loss: 0.0000782, ic_loss: 0.0000954, data_loss: 0.0110657, aw_ode: 1.03, aw_ic: 1.01, aw_data: 1.01
Epoch  3900, Loss:   0.01100, ode_loss: 0.0000775, ic_loss: 0.0000974, data_loss: 0.0107652, aw_ode: 1.03, aw_ic: 1.01, aw_data: 1.01
Epoch  4000, Loss:   0.01069, ode_loss: 0.0000768, ic_loss: 0.0000983, data_loss: 0.0104574, aw_ode: 1.03, aw_ic: 1.01, aw_data: 1.01
Epoch  4100, Loss:   0.01037, ode_loss: 0.0000761, ic_loss: 0.0000985, data_loss: 0.0101423, aw_ode: 1.03, aw_ic: 1.01, aw_data: 1.01
Epoch  4200, Loss:   0.01005, ode_loss: 0.0000753, ic_loss: 0.0000981, data_loss: 0.0098195, aw_ode: 1.03, aw_ic: 1.01, aw_data: 1.01
Epoch  4300, Loss:   0.00971, ode_loss: 0.0000746, ic_loss: 0.0000973, data_loss: 0.0094893, aw_ode: 1.04, aw_ic: 1.01, aw_data: 1.01
Epoch  4400, Loss:   0.00937, ode_loss: 0.0000739, ic_loss: 0.0000961, data_loss: 0.0091518, aw_ode: 1.04, aw_ic: 1.01, aw_data: 1.01
Epoch  4500, Loss:   0.00903, ode_loss: 0.0000731, ic_loss: 0.0000946, data_loss: 0.0088073, aw_ode: 1.04, aw_ic: 1.01, aw_data: 1.01
Epoch  4600, Loss:   0.00867, ode_loss: 0.0000724, ic_loss: 0.0000928, data_loss: 0.0084560, aw_ode: 1.04, aw_ic: 1.01, aw_data: 1.01
Epoch  4700, Loss:   0.00831, ode_loss: 0.0000716, ic_loss: 0.0000908, data_loss: 0.0080985, aw_ode: 1.04, aw_ic: 1.01, aw_data: 1.01
Epoch  4800, Loss:   0.00794, ode_loss: 0.0000709, ic_loss: 0.0000885, data_loss: 0.0077352, aw_ode: 1.04, aw_ic: 1.01, aw_data: 1.01
Epoch  4900, Loss:   0.00757, ode_loss: 0.0000701, ic_loss: 0.0000859, data_loss: 0.0073667, aw_ode: 1.04, aw_ic: 1.01, aw_data: 1.01
Epoch  5000, Loss:   0.00719, ode_loss: 0.0000693, ic_loss: 0.0000831, data_loss: 0.0069938, aw_ode: 1.04, aw_ic: 1.01, aw_data: 1.01
