Epoch     1, Loss:   1.51882, ode_loss: 0.0000111, ic_loss: 0.9498625, data_loss: 0.5689473, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch  3600, Loss:   0.03786, ode_loss: 0.0000662, ic_loss: 0.0000000, data_loss: 0.0375572, aw_ode: 1.04, aw_ic: 1.01, aw_data: 1.01
Epoch  3700, Loss:   0.03784, ode_loss: 0.0000659, ic_loss: 0.0000000, data_loss: 0.0375416, aw_ode: 1.04, aw_ic: 1.01, aw_data: 1.01
Epoch  3800, Loss:   0.03783, ode_loss: 0.0000656, ic_loss: 0.0000000, data_loss: 0.0375246, aw_ode: 1.04, aw_ic: 1.01, aw_data: 1.01
Epoch  3900, Loss:   0.03781, ode_loss: 0.0000653, ic_loss: 0.0000000, data_loss: 0.0375058, aw_ode: 1.04, aw_ic: 1.01, aw_data: 1.01
Epoch  4000, Loss:   0.03779, ode_loss: 0.0000650, ic_loss: 0.0000000, data_loss: 0.0374854, aw_ode: 1.05, aw_ic: 1.01, aw_data: 1.01
Epoch  4100, Loss:   0.03777, ode_loss: 0.0000647, ic_loss: 0.0000000, data_loss: 0.0374628, aw_ode: 1.05, aw_ic: 1.01, aw_data: 1.01
Epoch  4200, Loss:   0.03775, ode_loss: 0.0000644, ic_loss: 0.0000000, data_loss: 0.0374380, aw_ode: 1.05, aw_ic: 1.01, aw_data: 1.01
Epoch  4300, Loss:   0.03772, ode_loss: 0.0000641, ic_loss: 0.0000000, data_loss: 0.0374106, aw_ode: 1.05, aw_ic: 1.01, aw_data: 1.01
Epoch  4400, Loss:   0.03770, ode_loss: 0.0000638, ic_loss: 0.0000000, data_loss: 0.0373803, aw_ode: 1.05, aw_ic: 1.01, aw_data: 1.01
Epoch  4500, Loss:   0.03766, ode_loss: 0.0000634, ic_loss: 0.0000000, data_loss: 0.0373467, aw_ode: 1.05, aw_ic: 1.01, aw_data: 1.01
Epoch  4600, Loss:   0.03763, ode_loss: 0.0000631, ic_loss: 0.0000000, data_loss: 0.0373094, aw_ode: 1.05, aw_ic: 1.01, aw_data: 1.01
Epoch  4700, Loss:   0.03759, ode_loss: 0.0000627, ic_loss: 0.0000001, data_loss: 0.0372677, aw_ode: 1.05, aw_ic: 1.01, aw_data: 1.01
Epoch  4800, Loss:   0.03754, ode_loss: 0.0000623, ic_loss: 0.0000001, data_loss: 0.0372211, aw_ode: 1.05, aw_ic: 1.01, aw_data: 1.01
Epoch  4900, Loss:   0.03749, ode_loss: 0.0000619, ic_loss: 0.0000001, data_loss: 0.0371689, aw_ode: 1.05, aw_ic: 1.01, aw_data: 1.01
Epoch  5000, Loss:   0.03744, ode_loss: 0.0000614, ic_loss: 0.0000001, data_loss: 0.0371101, aw_ode: 1.06, aw_ic: 1.01, aw_data: 1.01
